TITLE,CATEGORY
china warned on thursday that a forced decoupling of its economy with india following a himalayan border clash last month that killed 20 indian soldiers would hurt both countriesthe chinese ambassador said china was not a strategic threat to india and that the general structure that we cant live without each other remains unchangedthe statement came after new delhis recent moves to ban or sideline chinese business interests in one of the worlds biggest markets even as the border remains tense with many more troops on the ground than usualofficials of the nucleararmed neighbours have been talking regularly to deescalate the border standoff after the june 15 clash in the galwan valley of indias ladakh regionindias ministry of external affairs said in an online briefing that a troops disengagement process as agreed by the two sides had yet to be completed and that another round of commanderlevel talks would be held soon,defence
foundational stage preparatory  cognitive development vision structure postponed neetug law all india ,india
new delhi indias ancient traditions of nonviolence kindness love and compassion are needed in todays world where people are fighting on the basis of religion and countries over territorial disputes tibetan spiritual leader the dalai lama said in new delhi todayindia also needs to bring some kind of revolution in its education system by combining its 3000yearold ancient tradition of high moral teachings with the modern education he saidthose mental quality subjects like nonviolence love kindness and compassion should be included as an academic subject instead of religious teachings dalai lama saiddelivering the 24th dr sarvepalli radhakrishnan memorial lecture on universal ethics organized by the indian institute of advanced study he said indias message of ahimsa kindness love and compassion spread even during religious conflicts and world warsunlike in parts of the world where shia and sunni muslims fought with each other there was no fighting within india he saidsuch high moral teachings of ancient indian culture and tradition are need of the hour said the dalai lama who escaped chinese occupation of his homeland in 1959there should be genuine compassion even without attachment he stressedpaying rich tributes to mr radhakrishnan for his role in bringing modern education system to india he said the former president was an example of combination of modern education and ancient vedic knowledge culture and traditionslater answering a question from the audience on how he could always smile and remain happy dalai lama said a person should treat even the enemy as the best teacherhe said though at times he was concerned about chinas anger and its fear of him as a tibetan and a practising buddhist since childhood he never felt any anger towards iti have special pills to keep smiling and remain happy he jokedto another question the nobel peace prize winner in 1989 said the indian vegetarian food was better than the chinese nonvegetarian foodhe said a persons inner value is more important than the outer beauty and stressed that outer beauty can be increased artificially but to improve inner values the path of ahimsa kindness love and compassion should be followedasked about plastic usage he referred to global warming and increasing pollution levels across the world and suggested that print and electronic media should play a role in educating the masses instead of sensationalizing newsformer governor of the erstwhile state of jammu and kashmir nn vohra and indian council for cultural relations iccr president and lawmaker vinay sahasrabuddhe also spoke on the need to uphold universal ethics,Lifestyle
mans patches fly high with rafales ,cities
why choose index investing yes the merits of diversification and low cost are usually factored in though one critical benefit that many do not realize is the transparency that is provided in the methodology of an independent index provider to understand what goes into the design and methodology of an index it’s important to note that it’s not a random pick of securities to represent the index’s concept or design so let’s skim through some basics of index constructionindices offer a wide range of options whereby their calculation methods might vary most equity indices are marketcap weighted and floatadjusted where each stock’s weight in the index is proportional to its floatadjusted market value some equity indices are priceweighted indices in which constituent weights are determined solely by the prices of the constituent stocks in the index an example would be the dow jones industrial average then there are equalweighted indices in which each stock is weighted equally in the index there can be restrictions placed in the index where certain constituents are assigned a minimum or maximum weight and this can be applied to sectors as well a few more to add to the variety are options include leveraged and inverse indices which return positive or negative multiples of their respective underlying indices dividend indices which track the total dividend payments of index constituents and the list goes ona common query among many is how exactly is an index calculated is it a simple average or is there some complex formula that runs that magic number the key concept to understand index calculation would be the index divisor in a capitalizationweighted index wherein the portfolio consists of all available shares of the stocks in the index the total value will be a large number eg the floatadjusted market value for the sp 500 is a figure in the trillions of us dollars hence to make it easy the number is scaled down by dividing the portfolio market value by a factor usually called the divisor,business
bcci shares detailed plan for ipl 2020 in uae the indian premier leagues ipl governing council gc is all set to meet over the weekend via teleconference followed by a meeting with their primary stakeholders  franchise owners broadcasters and central sponsorsthe meetings will chart out the final plan for the tournament to be played in uae starting september 19this comes after toi reported on the concerns raised by franchise owners about the arrangements being put in place for the 13th edition of the ipl in all these years of ipl the responsibility of accommodation hospitality travel etc  during the ipl  has been of the team owners nothing is going to change this year the only change will be in the sops with regards to covid gc chairman brijesh patel said also confirming the dates for the meetings,sports
asi to introduce online booking for taj archaeological survey of india asi is launching online booking of entry tickets to taj mahal ,india
the department of telecommunications dot has for now overruled objections by private contractors and asked the common service centres csc to complete the work of providing fibretothehome ftth and wifi connections from the panchayat level to individual homes“so far cscs have completed providing 1 lakh ftth connections and the target has been set at five lakh connections by september end the dot does not want work to be hampered due to red tape so for phase one cscs have been given the go ahead” an official close to the development saidthese connections being provided by ministry of electronics and information technology’s meity’s csc under bharatnet phase one had faced stiff opposition from private contractors who had approached the dot with allegations that cscs were exercising monopoly by providing services at unviable costson july 10 some of the private contractors working on providing ftth and wifi connections under bharatnet phase one had approached the dot with grievances that cost per kilometre quoted by cscs in ensuring connections to individual houses from the panchayat was unviable in the long run the cscs had in the meeting defended their system and argued that anyone who could provide better services at lower costs was welcome to do it“for now it is not a very profitable venture so the cscs are doing it in 45 years when the demand picks up private operators will want to look into getting this space again” another official saidthe cscs a special purpose vehicle spv for essential services such as banking insurance education among others had last year started the work on bharatnet by allowing village level entrepreneurs to do the service and maintenance work on existing infrastructure the bharatnet project which initially began as the national optical fibre network in october 2011has been delayed for over 92 months now the new deadline is august 2021,science and tech
‘i have a chance in singles’ roger federer on winning gold at tokyo olympicsroger federer who clinched gold in mens doubles in 2008 and settled for silver in mens singles in 2012 is yet to win an olympic gold medal at the singles eventroger federer has expressed his desire to end his career with an elusive singles gold medal at next year’s rescheduled tokyo olympicsthe 20time grand slam winner is yet to win an olympic gold at the men’s singles event although he has won the silver in the london olympics after losing 6–2 6–1 6–4 to andy murray in 2012 before that he clinched gold in the men’s doubles with stan wawrinka in 2008 in beijingbeing confident about his ability on hard courts federer is optimistic about his chances in 2021“of course i think something is possible whether this will be in singles doubles or mixed i don’t know yet what i’m going to play i think i would have a chance in singles” said federer in an interview with srf“i think i can speak for both of us when i say that in our position a medal is a goal otherwise you wonder why you even go there in the first place” he added,sports
mathura nobody can imagine india without its culture philosophy and the vedas as these make up the soul of the country rss chief mohan bhagwat said here on wednesdaylate swami vivekanand had said that so long as religion is alive even in one particle eliminating india cannot be possible he said while inaugurating a ved vidyalaya at vrindavanefforts made to eliminate the countrys culture for over 200 years could not succeed as it is deeplyrooted he saidcomparing the vedas with science bhagwat said that while the latter has its limitations the former had nonebhagwat suggested that acharyas saints and academicians should interpret vedas in a way which would be relevant in different times situations and places so that the secret of the welfare of humanity that india has in the vedas could be spread throughout the worldthe rss chief asked people to attend sangh shakhas to attain vedic knowledgemeanwhile when people requested bhagwat for selfies at the event he said it was okay to take pictures but dont share them on the social mediapost photos of our great leaders instead he saidpunjab and haryana governor kaptan singh solanki who also attended the programme emphasised the importance of vedasif india has to lead the world in the 21st century character building that comes through vedas is a must he addedfounder of bharat mata mandir hardwar mahamandaleshwar swami satyamitranand giri maluk peethdheeshwar rajendra das and the founder of veda school in vrindaban govind deogiri were among those present at the event,Lifestyle
kolhan districts data differ from health department figures ,cities
tea plantation tea coffee flooding food sowed moisture soyabeen agrisector ,india
aman along with his brothers killed his brotherinlaw by strangulating him and then burnt off his face to escape identification in uttar pradeshs greater noida the man murdered his brotherinlaw reportedly over not being given respect by his inlaws according to sources the victims name was bobby two days ago the body of the victim was found in a house near badlapur police station a 40yearold mans body was found dead on the expressway service road at 11 am police said the victims face was fully burnt therefore the dead body could not be identified police added the investigation led the police to the four accused and it was revealed that the main accused had strangled the victim his brotherinlaw as he felt he was not being duly respected by his inlaws after strangulating the victim the main accused and his brothers poured petrol on the victims body and set it on fire police suspect that the face and throat of the dead body were burnt after being murdered a case has been filed against the four accused by the badlapur police in greater noida,Legal
he served as president of the republic of china taiwan from 1988 to 2000 lee was credited with ending autocratic rule in favour of pluralism and democracy  but was also a controversial figure his attempts to delink the island from china sparked tensions with beijing which sees taiwan as a wayward province to be reunited one day lee died on thursday from septic shock and multiple organ failure in taipei after being in hospital for nearly six months during his time in office he led constitutional changes towards a more democratic political layout including direct presidential elections current president tsai ingwen said he laid the foundation of a democracy built on pride and our own identity,world
rio de janeiro beaches to stay shut until coronavirus vaccine is discoveredrio de janeiro beaches to stay shut until coronavirus vaccine is discovered ,india
that represents around 60 per cent of the population the agency said in a statement blaming drought economic recession and the coronavirus pandemic as the main drivers of the crisis galloping hyperinflation has meant that few families can now afford even basic food wfp said with the price of maize the staple cereal more than doubling in june lola castro wfp’s regional director for southern africa said that many zimbabwean families were suffering “the ravages of acute hunger” before appealing to the international community to help prevent “a potential humanitarian catastrophe”,world
‘i am at the end of my career’ roger federer addresses retirement rumoursroger federer has confirmed that he wont be retiring before 2021 as he has committed himself to participating in the next years tokyo olympicsroger federer addressed speculations about his retirement after he confirmed last month that he will be out of action for the remainder of the year due to knee surgerythe 20time grand slam winner who will turn 39 next month was last seen in action the 2020 australian open in january where he was knocked out of the competition in the semifinal by winner novak djokovicalthough he suffered an injury setback amidst the coronavirus pandemic in june he has confirmed that he won’t be retiring before 2021 as he has committed himself in participating in the 2021 tokyo olympics,sports
all fair price shops to look similar in rajasthan ,cities
ahm amc cops restrict temple bell touching ,cities
united under more pressure to qualify for champions league brendan rodgers leicester city are one point behind manchester united and a win at the king power stadium on sunday in the final premier league game of the season will guarantee a topfour spotmanchester united will be under more pressure than leicester city to secure a champions league berth as they rely on the financial rewards that come with playing in europe’s elite competition leicester boss brendan rodgers said on fridayfifthplaced leicester are one point behind united and a win at the king power stadium on sunday in the final premier league game of the season will guarantee a topfour spot united’s fate would be decided by chelsea’s result against wolverhampton wanderersif chelsea lose a draw would be enough for united to qualify while leicester will finish fourth on goal difference and return to the champions league for the first time in three years,sports
education minister quality board boards pcm topper results result stateboard professor professors student council debate farewell   btech mba bcom mcom bpharma mpharma mbbs neet jee mains advanced jeeadvanced,india
child sleep problems linked to impaired academic and psychosocial functioningthe study shows that although those with persistent sleep problems have the greatest impairments when it comes to broad child wellbeing even those with mild sleep problems over time experience some psychosocial impairmentsirrespective of whether children have sleep problems since birth or not a new study by researchers at children’s hospital of philadelphia chop has found that sleep disturbances at any age are associated with diminished wellbeing by the time the children are 10 or 11 years oldthe findings which were published in the journal of child psychology and psychiatry suggest health care providers should screen children for sleep problems at every age and intervene early when a sleep problem is identified“our study shows that although those with persistent sleep problems have the greatest impairments when it comes to broad child wellbeing even those with mild sleep problems over time experience some psychosocial impairments” said ariel a williamson phd a psychologist in the sleep center and faculty member at policylab and the center for pediatric clinical effectiveness at chop“the range of impairments across academic and psychosocial domains in middle childhood indicate that it is important to screen for sleep problems consistently over the course of a child’s development especially to target children who experience persistent sleep problems over time” added williamsonthe researchers examined data from an australian birth cohort involving more than 5000 patients caregivers reported on whether their children had sleep problems at multiple points in time from birth through 10 or 11 years of age,health and medicine
ramesh pokhriyal vocational grade first second third fourth fifth sixth seventh eighth nineth tenth  ,india
with the central law on land acquisition being extended to the union territory of jammu and kashmir the jk administration has withdrawn a 1971 circular that required a no objection certificate noc from its home department for acquisition or requisition of land in favour of the army bsf crpf and other similar organisationsthe move comes days after the jk administration gave its approval to an amendment to the control of building operations act 1988 and the jk development act 1970 this provides special dispensation for carrying out construction activities in òstrategic areasó by armed forces,defence
student undergraduate academic homeschooling higher education adult skill high school encyclopedia ,india
asian gold a boost for arokia ahead of tokyo a few days after indias 2018 asian games 4x400m mixed relay silver was upgraded to gold arokia rajiv who completes the relay quartet of mohammed anas mr poovamma and hima das said the victory will motivate them at the tokyo olympics next yearthe indian team has already qualified for the olympics by finishing third in the second heat of the semifinals at the doha world athletics championships held in september last yearthere was always a responsibility to perform well at olympics now as asian games champions we will face extra pressure but we want to channelize it in a positive way and it should motivate us to give our best the tamil nadu athlete told toi on fridayinterestingly though arokia had missed the world championships due to a toe and ligament injury he sustained in april last year while he was on road to recovery and was preparing for the 4x400m mens relay olympics qualifiers at sai patiala the coronavirus pandemic brought the world to a halt arokia like other indian athletes wasnt able to continue his outdoor training for three months at the sai centre,sports
the economic loss due to tropical cyclone increased by 270 per cent above the average of 20002019 cyclone amphan the strongest on record in bay of bengal is the world’s costliest with 15 billion economic loss estimated so far according to the report it is among the 20 disasters that costed in billions this year the cyclone had devastated the gulf of bengal — india and bangladesh — in may 2020 it was the thirdmost severe storm witnessed by the region since 1999 west bengal and the coastal districts of odisha bore brunt of the extreme weather event attributed to the changing climate at least 18 out of 20 of these events were weatherrelated except the puerto rico and zagreb earthquakes while 12 of these billiondollar events were in america two asian countries — india and china — suffered the most with over 20 billion dollars lost to weatherrelated disasters according to the report severe convective storms drove economic losses and accounted for nearly 80 per cent of global insured losses at least 30 billion is the insured loss due to natural disasters according to the report,environment
manoranjan mohantymigrant worker stories have almost disappeared from the newspapers governments are preoccupied with either containing the spread of covid19 or reopening the economy sadly the millions of migrant labourers who were forced to head towards their homes since march 24 are still looking for supportsome got mgnregs jobs in their villages but most of them are unemployed after spending time in quarantine centres they live on paltry ration in unhygienic conditions the fact that containing the virus and resuming production are both connected with the migrants is not sufficiently understood their poor living conditions and unsafe transportation made them victims of covid19 and its carriers further spreading it to towns and villages which are now seeing a surge in caseslet us remember that migrant workers are the key element in the construction sector and industries especially the small and medium industries hence the need to appreciate a few facts and design a policy that goes beyond giving relief for a few months as charity migrant workers have rights as citizens and are major drivers of the economyfirst during the lockdown the health emergency was as challenging as the labour faced an existential crisis due to closure of factories this was evident in the big cities where labour from the underdeveloped states such as odisha jharkhand chhattisgarh madhya pradesh bihar and uttar pradesh were forced out of their premisesestimates on migrant labour vary but most analysts put the figure at about 150 million of whom about twothirds were single migrants if each one has about four members back at home then the total affected would amount to another 400 million this vast mass of humanity faced livelihood displacement and health crisis which is as serious as the outbreaksecond every agricultural labour marginal and small farmer small artisan worker in a small enterprise is a potential migrant labourer when rural economy is unable to provide a source of livelihood the covid19 period brought out this phenomenon sharply the vast majority of them were distress migrants when many of them returned to their villages and after the quarantine period they had only mgnregs as an employment option even though the government enhanced the allocation for the scheme by some rs 40000 crore that is not enough many skilled labourers and youth declined to join that workthe rural economy was not designed to absorb local labour therefore the root of the migrant labour crisis lay in the lack of employment opportunities in rural india which must be restructured with vastly diversified productive activities to absorb local labour thereafter when they migrate it would not be out of distress but bargaining for better prospectsthird it is not appreciated that the migrant labour was the main contributor to the building of urban india the employers use them and send them off after a project is over the few welfare measures achieved in the recent decades after long struggles do not meet their legitimate longterm needs the charity approach was evident when three months after the lockdown the prime minister announced a ‘garib kalyan rozgar yojana’ giving 125 days’ work till novemberin this situation at least two measures are urgently required one is to implement the existing law in letter and spirit and ensuring this by setting up a statutory national commission on migrant labour to protect the rights of migrant workers two is to restructure the rural economy enabling the panchayats to plan a fullemployment development programmeunder the 1979 act and its 2011 rules the migrant workers are entitled to minimum wage displacement allowance home journey allowance suitable accommodation facilities and medical facilities among other things the act warrants registration of labour contractors employers and the enterprises where they are engaged the state governments are obliged to conduct an audit of each establishment to ensure that the law was implementedthe covid19 experience exposed how this law was only on paper and how disinterested were the labour officials to enforce it absence of strong migrant workers organisations made it worse there are also neoliberal labour reforms going on restricting workers’ rights reducing all labour laws into four codes on wages social security and welfare industrial relations and occupational safety health and working conditionson the question of making rural india an attractive fullemployment sector one needs a change of outlook even china has failed in this and is facing a rural crisis rather than making panchayats a channel of delivery of central schemes if they can have the power to plan for comprehensive development giving land and forest rights to the people then distress migration will be a thing of the past,politics
scientists discover  new species of alpine plants in rohtang manalhimachal pradesh cm assures no lockdown in hill staterare sighting of elusive snow leopards in kullu sanctuary ,cities
94  95  96  97  98  99 pass percentage syllabus boards projects assignments jobs medical ,india
tulsi vivah 2019 muhurat timings legend and ritualsthis year tulsi vivah will be celebrated on november 9 saturday according to the hindu scriptures all the living beings including plants have a sense of consciousness transfusing in themindia is a land of traditions and each community has its own set of rituals that are followed with utmost devotion tulsi vivah is celebrated in various parts of india on ekadashi according to the hindu calendar in the month of kartik the holy marriage of basil plant known as tulsi and lord vishnu shaligram is conducted on this dayaccording to the hindu scriptures all the living beings including plants have a sense of consciousness transfusing in them tulsi becomes the best example of this preaching and thus this marriage is considered sacredthis year tulsi vivah will be celebrated on november 9 saturday,Lifestyle
covid19 lack of childcare found ‘destroying’ mothers’ careers amid pandemicthe international labour organization has warned coronavirus could wipe out “the modest progress” made on gender equality at work in recent decades with women globally at greater risk of losing their jobsalmost threequarters of mothers in britain have been forced to cut work hours because of childcare issues under covid19 lockdowns according to a survey by a maternal rights group which warned more action was needed to protect women’s careersmore than eight in 10 employed mothers said they needed childcare to be able to work but fewer than half said they had enough childcare to let them do their job during the pandemic showed the survey by pregnant then screwed released on saturday“this lack of childcare is destroying women’s careers” said the campaign group’s founder and chief executive joeli brearley“they are being made redundant they are being forced to cut their hours and they are being treated negatively all because they are picking up the unpaid labour”studies around the world have found women are picking up more of the extra chores and childcare during the pandemicthe international labour organization has warned coronavirus could wipe out “the modest progress” made on gender equality at work in recent decades with women globally at greater risk of losing their jobs,health and medicine
anushka sharma is enjoying delectable homemade dessert thanks to husband virat kohli the cricketer recently treated the sultan actor to homemade chocolate eclairsposting a picture of the deliciouslooking treat on instagram anushka wrote “getting spoiled with homemade chocolate eclairs by my husband”an eclair is an oblong pastry made with choux dough light pastry dough filled with cream and topped with chocolate icing if you want to give this pastry a try here is a recipe for chocolate eclairs and profiteroles french cream puff courtesy youtube channel sanjeev kapoor khazana you just need some simple ingredients for this,Lifestyle
carryminati’s youtube channel was hacked earlier in the day hackers broke into carryminati’s youtube channel and asked for bitcoin donations from subscribers soon after the channel was hacked minati took to twitter to inform youtube about the incident and asked for “immediate assistance” the video platform was prompt to respond and resolve the issuecarryminati who’s real name is ajey nagar tweeted “youtubeindia my channel carryislive has been hacked need immediate assistance” youtube first apologised in a reply to the tweet and asked him to connect over dm to regain the channel team youtube tweeted “we’re really sorry this happened mind following us so we can continue with next steps over dm”notably carryminati’s second youtube channel that goes by the name carryiislive was hacked the account currently has 667million subscribers the main carryminati account has 24million subscribers in the carryislive channel he posts videos related to gaming onlyhackers reportedly changed the description of the account with account details for bitcoin donation hackers said to have streamed carryminati’s old bihar charity stream with the description for bitcoin’s address to trick subscribersfans took to twitter to show their concern about the hacking incidentcarryminati’s fans hold youtube responsible for the hacking incident after being compromised for quite some time carryminati regained access to the channel the display photo of the channel has been removed for the time being probably as a part of the regain process,science and tech
sardar singh regrets not being an olympic medallist but says india has realistic chance in tokyowith the 2020 tokyo summer games being postponed by a year because of the covid19 pandemic sardar feels the indian team will get some time to work on its grey areas and unearth new talentproud to be part of a generation that witnessed indian hockey’s resurgence former captain sardar singh says his sole regret in an otherwise illustrious career is not winning an olympic medal for his countryhowever he feels the current team under manpreet singh has the potential to break the fourdecadeold jinx in tokyo next year“my journey in hockey has been rather satisfying because i was part of that era which saw a resurgence we came a long way from finishing last at the london olympics in 2012 to being ranked no6 in the world when i hung up my boots in 2018“now the current team is poised at no4 which should definitely bring a lot of confidence to this team in the lead up to their tokyo olympic campaign” said sardarthe indian team has a rich olympic history winning an unprecedented eight gold besides a silver and two bronze medals,sports
recombinant dna technology food safety food labeling regulations biosafety protocol bacillus ,india
sushant singh rajputs dil bechara premiered last night on an ott platform it has been getting tremendous response from the audience the audience had been waiting for 24th july to watch sushant one last time on screens and the actor has won hearts yet again this time as manny fans cannot stop heaping praise for sushants character in dil bechara and at the same time they cannot stop their tears as they wont be able to witness his magic on screen again sushant singh rajputs colleagues from the hindi film industry and celebs have taken to their social media handle to celebrate his last film,entertainment
the year of building health and immunitya strong immune system could be the perfect solution to tackle covid19 building the body’s defence through food and herbal concoctions became a top priority for most people during the ongoing pandemica strong immune system could be the perfect solution to tackle covid19 building the body’s defence through food and herbal concoctions became a top priority for most people during the ongoing pandemicfrom giloy juice and tulsi drops to turmeric milk indians have been flocking stores to buy honey herbal teas amla based products touted to improve immunity to fight diseases corona year has probably made each one of us more conscious than ever to take care of our health and the onus has been majorly on the factors responsible to boost immunityhamid ahmed ceo hamdard laboratories food division says “it’s very important to keep your immunity high during such times taking steam to keep viruses away is essential giloy neem and amla juice work beautifully with warm water and should be taken regularly also homemade kadhas and multivitamins help in building immunity consumption of vitamin crich fruits and vegetables should be encouraged to boost the immune system”dimple jangda founder prana ayurveda says “the covid19 virus attacks the throat and the lungs in ayurveda kaphadosha made of earth and water is dominant in the nose throat and chest region when kapha is imbalanced it leads to accumulation of thick fluids like mucus a breeding ground for allergies viruses bronchial diseases”,health and medicine
kareena kapoor khan has been spotted with son taimur a few times during the lockdown in mumbai she was seen once again this time visiting sister karisma kapoor as always the veere di wedding actor has her fashion game on point and kept it chic in an asymmetrical leopard print dress which stood out for the flared sleeves the actor completed the look with the most essential item of our times mask and accessorised it with black shadesprior to this she was seen in a printed wrap dress cinched at the waist the flowy outfit was accessorised with a pair of shades and of course the only constant these days a mask,Lifestyle
filip boyen chief executive of forbes travel guide said our industry is poised and ready to receive guests once again after months of reimagination training and preparation ,india
construction company bouygues bâtiment international has built the clement canopy a pair of 140mhigh towers made of prefabricated concrete modules the company claims that the development in singapore has set a new record for the tallest modular buildingsrecently construction world conducted a webinar on how ‘precast  prefab technology – the answer to fast track construction industry growth’ our esteemed panelists deliberated upon critical need to adopt latest construction technologies and standards,business
jamshedpur ranchi,cities
indian navy b tech entry scheme indian army technical entry scheme national defence academy and ,india
value added agricultural value chain agricultural marketing food processing southern united states ,india
the chinese have been enhancing their strength bringing additional boats to the friction areas of the pangong lake and setting up new huts to accommodate more troops even as the disengagement set in new trenches and tents have also come up the latest satellite imagery shows in the latest satellite imagery of july 29 analysed by india today osint team 13 boats of the peopleõs liberation army ground forces naval wing can be seen at finger 5 and finger 6 at finger 5 three boats can be seen while 10 are at finger 6 each boat can carry at least 10 soldiers this means around 130 chinese troops usually belonging to their elite forces are present extremely close to finger 4 that was always under indian control,defence
kharif rabi harvest season production pulses green sugar sustainable seed ,india
delhi cm arvind kejriwal said he has sought time from union home minister amit shah to discuss the prevailing violent conditions and agitation in connection with the newly enacted citizenship amendment act he has also sought an appointment with the minister to get some insights about the same,Legal
covid19 live updates total number of cases passes 182 million,health and medicine
nilgiris tally breaches mark ,cities
faith revises upwards forecast on tourism value at risk at up to rs  lakh cr for the survival of the sector a faith spokesperson said the tourism sector requires a customised sectorspecific relief package and it cannot be delayed any further ,india
iphone se helps apple become only growing smartphone company with record quarter resultsapple says its 399 iphone se has performed stronger than expected the phone is aimed at budgetconscious consumerstim cook ceo of apple at the launch of the iphone 11 in cupertino california image credit nandagopal rajanindian express despite the pandemic bringing smartphone sales to a grinding halt for at least a couple of months in many countries apple has managed to record quarterly revenue of 597 billion an increase of 11 per cent from the yearago quarter according to research firm canalys apple was the only company that managed to grow in q2 shipping 451 million iphones globally a growth of 25 per cent compared to the previous year even as the overall smartphone market plummeted 14 per centeven as international sales accounted for 60 per cent of its q3 revenue ceo tim cook said the “record june quarter was driven by doubledigit growth in both products and services and growth in each of our geographic segments” he said this growth in uncertain times was a “testament to the important role our products play in our customers’ lives and to apple’s relentless innovation” “this is a challenging moment for our communities and from apple’s new 100 million racial equity and justice initiative to a new commitment to be carbon neutral by 2030 we’re living the principle that what we make and do should create opportunity and leave the world better than we found it”apple cfo luca maestri said as a result of the “record business results” the company’s active installed base of devices had also reached an alltime high in all of our geographic segmentsapple iphone se 2020 review apple is attributing a lot of its growth to the launch of the more affordable iphone se in the earnings call cook said the company “saw better than expected demand in may and june” which he attributed to “increase in demand to several interactive causes including a strong iphone se launch” and continued economic stimulus and lifting of the pandemic lockdownthe iphone se which retails for 399 is aimed at budgetconscious consumers image credit nandagopal rajanindian expressalso the iphone se gave apple a new phone for what would otherwise be a relatively silent quarter for the company with no new phone launches cook said with early data on the iphone se shows a higher switcher number than before which is good for apple as it was seeing customers hold on to phones for longer “it also seemed to appeal to some people that were holding onto the device a little longer because they wanted a smaller form factor phone” he said adding that this combination of small form factor and affordable price has “made the iphone se very popular” cook said that while the iphone 11 is still the most popular smartphone the iphone se definitely helped the resultsthe iphone revenue grew more than expected during its third quarter according to applecanalys analyst vincent thielke said apple defied expectations in q2 with the iphone se accounting for around 28 per cent of its global volume while iphone 11 remained a strong bestseller at nearly 40 per cent “iphone se will remain crucial to prop up volume this year amid delays to apple’s next flagship release” he said also according to thielke apple had blockbuster results in china growing 35 per cent to reach 77 million units “it is unusual for apple’s q2 shipments to increase sequentially as well as the new iphone se apple is also demonstrating skills in new user acquisition it adapted quickly to the pandemic doubling down on the digital customer experience as stayathome measures drive more customers to online channels” he explained,science and tech
cotton  jute silk fish chicken eggs poultry blight locust grasshopper locusts prevent tomar fpo wheat agrifund,india
guwahati ,cities
how covid19 has redefined hospital practices for oncologistsif cancer has not and will not stop for the pandemic can oncologists stop asks dr rakesh reddy boya senior medical oncologist mahatma gandhi cancer hospital  research institute vizag he reviews the changes oncologists made to hospital practices to deal with the pandemic some in line with guidelines and some with logic and reasonhe also urges patients not to ignore any symptoms and not to delay speaking to a specialist if they suspect cancer as the fear of visiting a hospital should not come in the way of cancer treatment he suggests patients should use teleconsultation to reach out to doctors as he warns that earlystage cancer stage 1 or 2 can progress to latestage disease becoming incurable if prompt action is not takenthe covid19 pandemic has claimed a lot of lives it has not only redefined the way we live but for us oncologists it has also redefined the way we treat our patients with cancercancer patients are known to be at higher risk of infection and mortality from covid19 due to immune suppression caused by the cancer itself and also its treatment various treatment modalities like say chemotherapy are likely to decrease immunity of patients making them susceptible to getting infected and suffer from more severe forms of covid this created a sense of panic both among patients and treating doctorsguidelines were issued by many international bodies asco esmo etc which outlined how to go about cancer treatment during the covid19 pandemicwhat we oncologists found was that the actual scenario at ground level was much more different a lot of cancer treatment got delayed not just palliative chemotherapy or supportive care but curative treatment as well in these cases covid19 may or may not have killed the patient but cancer has certainly done so without timely initiation of treatment most cancers are fatal some like leukaemias and aggressive lymphomas are fatal within months these are the conditions which otherwise have high cure rates with proper treatment,health and medicine
telangana bjp leader invites asaduddin owaisi to participate in bhoomi ,cities
meghalaya government approves rs  cr to upgrade sports facility ,cities
aryan konkani indo aryan maithili indo aryan malayalam dravidian meitei sino tibetan marathi indo aryan ,india
leh and rishikesh in tripadvisors asia top  destinations on the rise for  list tripadvisor list includes  spots around the world that have seen the greatest increase in positive feedback ,india
dr anthony fauci talks covid19 vaccine and school openings in a live qa session hosted by jama monday dr anthony faucitrusted source the director of the national institute of allergy and infectious diseases and member of the white house coronavirus task force discussed the key learnings from the pandemic along with what may be in store for usunless we get a handle on the current surges and start seeing a decrease in new daily cases the pandemic may be even worse come fall“i do not know nor can anyone know what the fall is going to bring” fauci said in the qa “we need to get those numbers down if we don’t get them down then we’re going to have a really bad situation in the fall”fauci also addressed the five things everybody can do to help prevent resurgences from occurringthey include wearing face masks physical distancing staying away from places where people congregate choosing outdoor activities over indoor ones and practicing good hand hygiene“it’s not rocket science but it really can be effective” fauci saidhere are the main points fauci addressed during his conversation with dr howard bauchnertrusted source the editorinchief of jama,health and medicine
according to the latest analysis from the united nations world tourism organisation some  per cent of all destinations worldwide have now eased the restrictions they placed on international tourism in response to the outbreak ,india
mizoram govt mulling reintroduction of middle school board ,cities
bhu professors discover dna ancestry of lakshadweep natives ,cities
i hope some sort of training plan comes up says vinesh phogat opening of stadiums and sports complexes for athletes was among the latest guidelines issued by the government on sunday while announcing an extension of the nationwide lockdown that is in place to stem the spread of coronavirus and ace wrestler vinesh phogat believes that stadiums had to be opened up for training sooner than later as sportspersons would otherwise start getting frustrated at homehowever there is still uncertainty over a number of topics  it is yet to be made clear as to whether the complexes are open for competitions or training and the fate of contact sports like wrestling is yet to be ascertained vinesh feels that regardless of all there hopefully is a decision soon enough for resumption of training at some level,sports
